                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.2112,                0.20588,                0.28274,                0.85562,                 0.9969,                0.97464,                0.97372,                0.96613,                 0.9969,                0.97464,                0.97303,                0.95879,                 0.1714,                0.24953,                  0.199,                0.83818,             0.00056086,             0.00056086,             0.00056086
                     36,                0.21727,                0.21033,                0.28123,                0.86959,                0.99552,                0.97464,                0.97317,                0.96406,                0.99552,                0.97464,                0.97317,                0.95626,                0.16256,                 0.2755,                0.18609,                0.83624,             0.00055261,             0.00055261,             0.00055261
                     37,                0.21094,                0.22717,                0.26747,                0.86048,                0.99523,                0.97464,                0.97253,                0.96445,                0.99523,                0.97464,                0.97253,                0.95781,                0.16848,                0.19808,                 0.1965,                0.84269,             0.00054437,             0.00054437,             0.00054437
                     38,                0.20423,                0.21744,                0.25892,                0.86681,                0.99636,                0.97464,                0.97314,                0.96312,                0.99636,                0.97464,                0.97261,                  0.955,                0.16739,                0.27957,                0.21275,                0.84265,             0.00053612,             0.00053612,             0.00053612
                     39,                0.20942,                0.22732,                0.26565,                0.86239,                0.99373,                0.97263,                0.97491,                0.96384,                0.99373,                0.97263,                0.97306,                 0.9582,                0.17605,                 0.2115,                0.21564,                 0.8438,             0.00052787,             0.00052787,             0.00052787
                     40,                0.20546,                0.26737,                0.25836,                0.85828,                0.99571,                0.97464,                0.97452,                0.96919,                0.99571,                0.97464,                0.97452,                0.96248,                0.17322,                0.27335,                0.20657,                0.84485,             0.00051963,             0.00051963,             0.00051963
                     41,                0.19622,                0.22779,                0.26352,                0.86167,                0.99488,                0.97464,                0.97235,                0.96705,                0.99488,                0.97464,                0.97235,                0.95819,                0.16446,                0.26851,                0.19408,                0.83624,             0.00051138,             0.00051138,             0.00051138
                     42,                0.19681,                0.23989,                0.24943,                0.85852,                0.99686,                0.97464,                 0.9727,                 0.9613,                0.99686,                0.97464,                 0.9727,                0.95628,                0.15371,                0.20786,                 0.1818,                0.83284,             0.00050313,             0.00050313,             0.00050313
                     43,                0.19753,                0.19342,                0.24625,                 0.8555,                0.98971,                0.97464,                0.97501,                0.96824,                0.98971,                0.97464,                0.97298,                0.95589,                0.14427,                 0.2337,                0.18419,                0.83177,             0.00049489,             0.00049489,             0.00049489
                     44,                0.19706,                0.21238,                0.23649,                0.85641,                 0.9941,                0.97464,                0.97496,                 0.9694,                 0.9941,                0.97464,                0.97496,                0.95972,                0.14006,                0.24789,                0.17357,                0.82421,             0.00048664,             0.00048664,             0.00048664
