                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.20851,                 0.3494,                0.17192,                0.85453,                0.99714,                0.97746,                0.97955,                0.97308,                0.99714,                0.97746,                0.97955,                0.96662,                 0.1135,                0.26192,                0.11886,                0.79005,             0.00052538,             0.00052538,             0.00052538
                     67,                0.21097,                0.33722,                0.16966,                0.85905,                0.99756,                0.97746,                0.98017,                 0.9746,                0.99756,                0.97746,                0.98017,                0.97103,                 0.1137,                0.30836,                0.11514,                0.78959,             0.00052157,             0.00052157,             0.00052157
                     68,                0.21122,                0.32753,                0.17901,                0.86013,                0.99738,                0.97746,                0.98029,                0.97428,                0.99738,                0.97746,                0.98029,                0.97074,                0.12511,                0.23471,                0.13543,                0.79701,             0.00051777,             0.00051777,             0.00051777
                     69,                0.20868,                0.34929,                0.17596,                0.85867,                0.99707,                0.97746,                0.97971,                0.97404,                0.99707,                0.97746,                0.97971,                0.96682,                 0.1175,                0.24374,                0.11358,                0.79272,             0.00051396,             0.00051396,             0.00051396
                     70,                0.20803,                0.33422,                0.16872,                0.85384,                0.99715,                0.97746,                0.98001,                0.97456,                0.99715,                0.97746,                0.98001,                 0.9657,                 0.1252,                0.25969,                0.11117,                0.79412,             0.00051015,             0.00051015,             0.00051015
                     71,                0.21713,                0.36337,                0.17616,                0.85561,                0.99686,                0.97746,                0.97897,                0.97211,                0.99686,                0.97746,                0.97897,                0.96487,                0.13254,                0.25707,                0.13045,                0.79774,             0.00050635,             0.00050635,             0.00050635
                     72,                0.21127,                0.36194,                0.17184,                0.85425,                0.99748,                0.97746,                0.98112,                0.97451,                0.99748,                0.97746,                0.98112,                0.96987,                 0.1073,                0.26325,                0.10777,                0.78707,             0.00050254,             0.00050254,             0.00050254
                     73,                0.20888,                0.32735,                0.16621,                0.85063,                0.99712,                0.97746,                0.98055,                0.97443,                0.99712,                0.97746,                0.98055,                0.96761,                0.11299,                0.29757,                0.10938,                0.78921,             0.00049873,             0.00049873,             0.00049873
                     74,                0.20565,                0.32154,                0.16602,                0.85618,                 0.9977,                0.97746,                0.98358,                 0.9783,                 0.9977,                0.97746,                0.98358,                0.97308,                0.10011,                0.20037,                0.10516,                0.78436,             0.00049493,             0.00049493,             0.00049493
                     75,                0.20098,                0.31948,                0.16407,                0.85554,                0.99749,                0.97746,                0.97949,                0.97568,                0.99749,                0.97746,                0.97949,                0.96985,                 0.0995,                0.30499,                0.09779,                0.78419,             0.00049112,             0.00049112,             0.00049112
