                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.25099,                0.22883,                0.31219,                0.89107,                0.99418,                0.97904,                0.97697,                0.96593,                0.99418,                0.97904,                0.97697,                 0.9691,                0.18997,                0.19035,                0.22632,                0.84731,             0.00061674,             0.00061674,             0.00061674
                     43,                0.23436,                0.21937,                0.30042,                0.88743,                0.99398,                0.97904,                0.97634,                0.96927,                0.99398,                0.97904,                0.97634,                0.96763,                0.21101,                0.22439,                0.22886,                0.86231,             0.00061293,             0.00061293,             0.00061293
                     44,                0.24323,                 0.2563,                0.30179,                0.89223,                0.99441,                0.97904,                0.97592,                0.96542,                0.99441,                0.97904,                0.97592,                0.96536,                0.20916,                0.23275,                0.22135,                0.85591,             0.00060912,             0.00060912,             0.00060912
                     45,                0.23564,                 0.2109,                0.31957,                0.88602,                0.99438,                0.97904,                0.97805,                0.97125,                0.99438,                0.97904,                0.97805,                0.97112,                0.19116,                0.26383,                0.22264,                 0.8482,             0.00060532,             0.00060532,             0.00060532
                     46,                0.23701,                0.19651,                0.34223,                0.88557,                 0.9195,                0.97613,                 0.9768,                 0.9684,                 0.9195,                0.97613,                 0.9768,                 0.9649,                0.19291,                0.24084,                0.29051,                0.84431,             0.00060151,             0.00060151,             0.00060151
                     47,                0.23809,                0.22069,                0.33205,                0.88938,                0.99394,                0.97753,                0.97645,                0.96727,                0.99394,                0.97753,                0.97645,                0.96687,                0.19165,                0.22784,                0.24951,                0.85162,             0.00059771,             0.00059771,             0.00059771
                     48,                0.23455,                0.19609,                0.31524,                0.88617,                0.99398,                0.97904,                 0.9764,                0.96578,                0.99398,                0.97904,                 0.9764,                   0.97,                 0.2189,                0.20184,                0.23379,                0.86898,              0.0005939,              0.0005939,              0.0005939
                     49,                0.23219,                0.23017,                0.29162,                0.88938,                0.99571,                0.97904,                0.97661,                0.96699,                0.99571,                0.97904,                0.97661,                0.96815,                0.19027,                0.22654,                0.20815,                 0.8553,             0.00059009,             0.00059009,             0.00059009
                     50,                0.23943,                0.21696,                0.28551,                0.89276,                0.99298,                0.97904,                 0.9768,                0.96616,                0.99298,                0.97904,                 0.9768,                0.96402,                0.20149,                0.21632,                0.23547,                0.85731,             0.00058629,             0.00058629,             0.00058629
                     51,                0.24748,                0.21239,                0.30064,                0.89337,                0.99413,                0.97774,                0.97695,                0.97174,                0.99413,                0.97774,                0.97695,                0.97133,                0.18603,                0.21167,                0.20266,                 0.8432,             0.00058248,             0.00058248,             0.00058248
                     52,                0.23628,                0.19689,                0.29809,                0.88867,                 0.9954,                0.97904,                0.97691,                0.97152,                 0.9954,                0.97904,                0.97691,                0.97086,                0.18228,                0.21424,                0.20413,                0.83844,             0.00057867,             0.00057867,             0.00057867
                     53,                0.23479,                0.18867,                0.30164,                0.88686,                0.99248,                0.97904,                0.97633,                0.96727,                0.99248,                0.97904,                0.97633,                0.96838,                0.19689,                0.20715,                0.22086,                0.85497,             0.00057487,             0.00057487,             0.00057487
