                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.19372,                0.17702,                0.24086,                0.86855,                0.99551,                0.97904,                0.97681,                0.96822,                0.99551,                0.97904,                0.97681,                0.96762,                0.15057,                0.19547,                0.17773,                0.82415,             0.00032744,             0.00032744,             0.00032744
                     61,                 0.1997,                0.23961,                0.23743,                0.87796,                0.99265,                0.97904,                0.97749,                0.96798,                0.99265,                0.97904,                0.97749,                0.96811,                 0.1528,                0.21292,                0.19407,                0.82207,             0.00031983,             0.00031983,             0.00031983
                     62,                0.20345,                0.21602,                0.24403,                0.87474,                0.99522,                0.97904,                 0.9768,                0.96995,                0.99522,                0.97904,                 0.9768,                0.96893,                 0.1568,                0.19421,                0.18649,                0.82671,             0.00031221,             0.00031221,             0.00031221
                     63,                0.20286,                0.24816,                0.24584,                 0.8756,                0.98961,                0.97904,                0.97761,                0.96781,                0.98961,                0.97904,                0.97761,                0.96573,                0.15541,                0.19763,                0.20053,                0.83085,              0.0003046,              0.0003046,              0.0003046
                     64,                0.20155,                0.20758,                0.24721,                0.88156,                0.99337,                0.97904,                0.97818,                0.97136,                0.99337,                0.97904,                0.97818,                0.97035,                0.15723,                0.21809,                0.18979,                0.83449,             0.00029699,             0.00029699,             0.00029699
                     65,                0.18819,                0.21468,                 0.2298,                0.87533,                0.99456,                0.97904,                0.97831,                0.96847,                0.99456,                0.97904,                0.97831,                0.96784,                0.14442,                0.19987,                0.15926,                 0.8197,             0.00028937,             0.00028937,             0.00028937
                     66,                0.19104,                0.18594,                0.23243,                0.87609,                0.99529,                0.97904,                0.97779,                0.96723,                0.99529,                0.97904,                0.97779,                0.96781,                0.14094,                0.19148,                0.15287,                0.81888,             0.00028176,             0.00028176,             0.00028176
                     67,                 0.1945,                0.19521,                0.22816,                0.87499,                0.99529,                0.97904,                0.97728,                0.96812,                0.99529,                0.97904,                0.97728,                 0.9645,                0.12988,                0.18707,                0.15566,                0.81326,             0.00027415,             0.00027415,             0.00027415
                     68,                 0.1948,                0.22881,                0.24137,                0.88249,                0.99531,                0.97904,                0.97894,                0.97038,                0.99531,                0.97904,                0.97894,                0.96956,                0.15042,                 0.1874,                0.15949,                0.82447,             0.00026654,             0.00026654,             0.00026654
                     69,                0.18427,                0.16738,                0.23285,                0.87267,                0.99407,                0.97904,                0.97891,                0.97077,                0.99407,                0.97904,                0.97891,                 0.9698,                0.12931,                0.18555,                 0.1461,                0.81385,             0.00025892,             0.00025892,             0.00025892
                     70,                0.19102,                0.20606,                0.22551,                0.87459,                0.99585,                0.97904,                0.97955,                0.97114,                0.99585,                0.97904,                0.97955,                0.97047,                0.14528,                0.18807,                0.15179,                0.82506,             0.00025131,             0.00025131,             0.00025131
                     71,                0.18238,                0.15793,                 0.2301,                0.87248,                0.99493,                0.97904,                 0.9797,                0.96998,                0.99493,                0.97904,                 0.9797,                0.96844,                 0.1289,                0.18912,                0.15184,                0.81667,              0.0002437,              0.0002437,              0.0002437
                     72,                0.18812,                0.20716,                0.22617,                0.87711,                0.99539,                0.97904,                0.97822,                0.96849,                0.99539,                0.97904,                0.97822,                0.96786,                0.14099,                0.19015,                 0.1526,                0.82242,             0.00023608,             0.00023608,             0.00023608
                     73,                0.18514,                0.16988,                0.22276,                0.87721,                0.99438,                0.97904,                0.97791,                0.96936,                0.99438,                0.97904,                0.97791,                0.96848,                0.13569,                0.18368,                0.14995,                0.82163,             0.00022847,             0.00022847,             0.00022847
